iter	Passed	Remaining
881	130543	17465
882	130709	17319
883	130966	17185
884	131074	17032
885	131175	16878
886	131286	16725
887	131388	16571
888	131507	16419
889	131608	16266
890	131714	16113
891	131852	15964
892	132094	15827
893	132205	15675
894	132314	15522
895	132436	15372
896	132605	15226
897	132799	15084
898	133044	14947
899	133621	14846
900	133857	14707
901	134048	14563
902	134233	14419
903	134457	14278
904	134661	14135
905	134977	14004
906	135283	13871
907	135522	13731
908	135773	13592
909	135975	13448
910	136253	13311
911	136526	13173
912	136646	13021
913	136766	12868
914	136867	12714
915	136979	12561
916	137084	12407
917	137176	12253
918	137270	12098
919	137374	11945
920	137579	11801
921	137757	11654
922	137847	11499
923	137955	11347
924	138062	11194
925	138165	11041
926	138264	10888
927	138365	10735
928	138472	10582
929	138596	10432
930	139045	10305
931	139150	10152
932	139252	9999
933	139363	9847
934	139471	9695
935	139565	9542
936	139670	9390
937	139762	9238
938	139881	9087
939	140036	8938
940	140313	8797
941	140431	8646
942	140537	8494
943	140643	8343
944	140738	8191
945	140856	8040
946	140953	7888
947	141067	7737
948	141210	7588
949	141454	7444
950	141574	7294
951	141677	7143
952	141774	6992
953	141894	6841
954	142002	6691
955	142099	6540
956	142196	6389
957	142298	6238
958	142480	6091
959	142707	5946
960	142812	5795
961	142941	5646
962	143045	5496
963	143154	5346
964	143239	5195
965	143343	5045
966	143444	4895
967	143605	4747
968	143905	4603
969	144028	4454
970	144138	4304
971	144241	4155
972	144324	4004
973	144417	3855
974	144516	3705
975	144625	3556
976	144932	3411
977	145210	3266
978	145328	3117
979	145430	2967
980	145535	2818
981	145636	2669
982	145739	2520
983	145848	2371
984	145950	2222
985	146088	2074
986	146397	1928
987	146617	1780
988	146806	1632
989	147011	1484
990	147234	1337
991	147640	1190
992	147859	1042
993	148075	893
994	148276	745
995	148469	596
996	148678	447
997	149018	298
998	149305	149
999	149529	0
